Tempo (s),Y,Set Point
0.0,33.69,50
0.0,33.69,50
0.10091447830200195,33.69,50
0.2020721435546875,33.2,50
0.3033294677734375,33.69,50
0.40473127365112305,33.2,50
0.5053997039794922,33.2,50
0.6060643196105957,33.2,50
0.7074980735778809,33.2,50
0.8095066547393799,33.69,50
0.9102857112884521,33.2,50
1.0107948780059814,33.69,50
1.1115119457244873,33.2,50
1.2125053405761719,33.69,50
1.3139410018920898,33.69,50
1.4150991439819336,33.2,50
1.5158190727233887,33.2,50
1.6166791915893555,33.69,50
1.718376874923706,33.2,50
1.8188409805297852,33.2,50
1.9200749397277832,33.2,50
2.021578788757324,33.2,50
2.122995615005493,33.2,50
2.224482774734497,33.2,50
2.325566291809082,33.69,50
2.427121877670288,33.69,50
2.5276989936828613,32.71,50
2.6286206245422363,33.2,50
2.7295331954956055,33.69,50
2.8307366371154785,33.69,50
2.931636333465576,33.2,50
3.0328919887542725,33.69,50
3.1337881088256836,33.2,50
3.235490560531616,33.2,50
3.3357677459716797,33.69,50
3.43656325340271,33.69,50
3.53780198097229,33.2,50
3.6384100914001465,33.69,50
3.7395412921905518,33.2,50
3.840118646621704,33.2,50
3.9405975341796875,33.2,50
4.041684627532959,33.2,50
4.143204927444458,33.69,50
4.244281530380249,33.69,50
4.345574140548706,33.69,50
4.446675777435303,33.69,50
4.54726767539978,33.69,50
4.6487836837768555,33.2,50
4.749731540679932,33.2,50
4.850780010223389,33.69,50
4.951697826385498,33.69,50
5.052372217178345,33.2,50
5.15305757522583,33.69,50
5.254337310791016,33.69,50
5.355602502822876,33.2,50
5.456657648086548,33.69,50
5.5577380657196045,33.69,50
5.659117698669434,33.69,50
5.7598607540130615,33.2,50
5.86091423034668,34.67,50
5.961542129516602,33.69,50
6.062256336212158,33.69,50
6.163092851638794,33.69,50
6.264153003692627,33.69,50
6.365572690963745,33.69,50
6.466620922088623,33.2,50
6.567965030670166,33.69,50
6.669275283813477,33.2,50
6.770454406738281,33.69,50
6.871147632598877,33.69,50
6.972841739654541,33.69,50
7.0737128257751465,33.69,50
7.174800395965576,34.18,50
7.2753746509552,33.69,50
7.376461505889893,33.69,50
7.477642297744751,33.69,50
7.578839540481567,33.69,50
7.68014669418335,34.18,50
7.781707763671875,33.69,50
7.882495880126953,34.18,50
7.983502149581909,33.69,50
8.084716081619263,34.18,50
8.185739040374756,34.18,50
8.286829471588135,33.69,50
8.388046264648438,33.69,50
8.489277839660645,34.18,50
8.590556144714355,34.18,50
8.691583156585693,34.18,50
8.792760372161865,33.2,50
8.894019365310669,34.18,50
8.995331764221191,34.18,50
9.096506118774414,34.18,50
9.197454929351807,34.18,50
9.298484563827515,34.18,50
9.399421691894531,34.18,50
9.500360012054443,34.18,50
9.60129976272583,34.67,50
9.702236413955688,34.18,50
9.803355693817139,34.67,50
9.904887914657593,34.18,50
10.005940675735474,34.67,50
10.106858015060425,34.67,50
10.207615375518799,34.67,50
10.30897855758667,34.18,50
